Order_ID,Product,Category,Quantity,Price,Customer_City,Payment_Method,Total Sales,Discount %,Discount Amount,Net Sales,Profit,Profit Margin
O1088,Usb Cable,Electronics,5,538.35,Delhi,Upi,2691.75,0,0.0,2691.75,269.175,10.0
O1089,Shoes,Fashion,5,2714.16,Chennai,Card,13570.8,0,0.0,13570.8,1357.08,10.0
O1090,T-Shirt,Fashion,5,913.01,Delhi,Upi,4565.05,0,0.0,4565.05,456.50500000000005,10.0
O1091,Jeans,Fashion,4,1726.0,Hyderabad,Net Banking,6904.0,0,0.0,6904.0,690.4000000000001,10.000000000000002
O1092,Jacket,Fashion,1,3082.83,Coimbatore,Card,3082.83,0,0.0,3082.83,308.283,10.0
O1093,Backpack,Fashion,1,1370.51,Pune,Card,1370.51,0,0.0,1370.51,137.05100000000002,10.0
O1094,Sunglasses,Fashion,3,1115.41,Coimbatore,Card,3346.2300000000005,0,0.0,3346.2300000000005,334.62300000000005,10.0
O1095,Coffee Maker,Home,2,4278.75,Bangalore,Card,8557.5,0,0.0,8557.5,855.75,10.0
O1096,Table Lamp,Home,2,1257.78,Chennai,Upi,2515.56,0,0.0,2515.56,251.556,10.0
O1097,Bed Sheet,Home,3,1666.85,Kochi,Upi,5000.549999999999,0,0.0,5000.549999999999,500.055,10.0
O1011,Jeans,Fashion,1,1636.72,Mumbai,Cash,1636.72,0,0.0,1636.72,163.67200000000005,10.000000000000002
