Order_ID,Product,Category,Quantity,Price,Customer_City,Payment_Method
O1046,Smart Watch,Electronics,5,4824.66,Kochi,Card
O1047,Monitor,Electronics,3,11801.79,Hyderabad,Upi
O1048,Usb Cable,Electronics,3,476.94,Coimbatore,Cash
O1049,Shoes,Fashion,3,2411.6,Coimbatore,Net Banking
O1050,T-Shirt,Fashion,1,882.69,Pune,Net Banking
O1051,Jeans,Fashion,2,1966.48,Pune,Cash
O1052,Jacket,Fashion,2,3335.85,Hyderabad,Upi
O1053,Backpack,Fashion,1,1334.7,Bangalore,Card
O1054,Sunglasses,Fashion,4,1001.33,Hyderabad,Net Banking
O1055,Coffee Maker,Home,1,4620.92,Pune,Card
O1056,Table Lamp,Home,5,1197.47,Coimbatore,Card
O1057,Bed Sheet,Home,4,1465.87,Coimbatore,Cash
O1058,Mixer Grinder,Home,1,3973.44,Coimbatore,Upi
O1059,Water Bottle,Home,4,767.68,Pune,Cash
O1060,Office Chair,Furniture,1,6976.08,Mumbai,Card
O1061,Laptop,Electronics,5,58941.95,Delhi,Cash
O1062,Smartphone,Electronics,4,25292.89,Mumbai,Cash
O1063,Headphones,Electronics,3,2133.41,Kochi,Net Banking
O1064,Keyboard,Electronics,1,1557.28,Coimbatore,Cash
O1065,Mouse,Electronics,2,854.03,Mumbai,Net Banking
O1066,Smart Watch,Electronics,1,4152.13,Kochi,Cash
O1067,Monitor,Electronics,2,11419.06,Delhi,Net Banking
O1068,Usb Cable,Electronics,2,548.22,Delhi,Net Banking
O1069,Shoes,Fashion,1,2370.93,Coimbatore,Card
O1070,T-Shirt,Fashion,4,910.49,Coimbatore,Cash
O1071,Jeans,Fashion,1,1720.39,Mumbai,Net Banking
O1072,Jacket,Fashion,3,3428.05,Pune,Net Banking
O1073,Backpack,Fashion,1,1439.77,Mumbai,Upi
O1074,Sunglasses,Fashion,4,1187.68,Delhi,Card
O1075,Coffee Maker,Home,3,4385.05,Chennai,Cash
O1076,Table Lamp,Home,1,1081.21,Coimbatore,Card
O1077,Bed Sheet,Home,2,1595.4,Mumbai,Net Banking
O1078,Mixer Grinder,Home,5,3590.44,Chennai,Net Banking
O1079,Water Bottle,Home,1,699.15,Coimbatore,Net Banking
O1080,Office Chair,Furniture,3,7736.42,Chennai,Net Banking
O1081,Laptop,Electronics,4,55096.95,Pune,Cash
O1082,Smartphone,Electronics,5,27925.76,Coimbatore,Cash
O1083,Headphones,Electronics,3,2329.72,Pune,Upi
O1084,Keyboard,Electronics,4,1550.68,Chennai,Upi
O1085,Mouse,Electronics,4,835.59,Mumbai,Net Banking
O1086,Smart Watch,Electronics,3,4741.7,Coimbatore,Upi
O1087,Monitor,Electronics,4,13057.1,Hyderabad,Card
O1088,Usb Cable,Electronics,5,538.35,Delhi,Upi
O1089,Shoes,Fashion,5,2714.16,Chennai,Card
O1090,T-Shirt,Fashion,5,913.01,Delhi,Upi
O1091,Jeans,Fashion,4,1726.0,Hyderabad,Net Banking
O1092,Jacket,Fashion,1,3082.83,Coimbatore,Card
O1093,Backpack,Fashion,1,1370.51,Pune,Card
O1094,Sunglasses,Fashion,3,1115.41,Coimbatore,Card
O1095,Coffee Maker,Home,2,4278.75,Bangalore,Card
O1096,Table Lamp,Home,2,1257.78,Chennai,Upi
O1097,Bed Sheet,Home,3,1666.85,Kochi,Upi
O1011,Jeans,Fashion,1,1636.72,Mumbai,Cash
